id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_hr_employee_benefit_category,access_hr_employee_benefit_category,model_hr_employee_benefit_category,payroll_base.group_hr_payroll_manager,1,1,1,1
access_hr_employee_benefit,access_hr_employee_benefit,model_hr_employee_benefit,payroll_base.group_hr_payroll_manager,1,1,1,1
access_hr_employee_benefit_rate,access_hr_employee_benefit_rate,model_hr_employee_benefit_rate,payroll_base.group_hr_payroll_manager,1,1,1,1
access_hr_employee_benefit_rate_line,access_hr_employee_benefit_rate_line,model_hr_employee_benefit_rate_line,payroll_base.group_hr_payroll_manager,1,1,1,1
access_hr_payslip_benefit_line,access_hr_payslip_benefit_line,model_hr_payslip_benefit_line,payroll_base.group_hr_payroll_manager,1,1,1,1
access_hr_employee_benefit,access_hr_employee_benefit,model_hr_employee_benefit,vitalpet_mypractice.group_my_practice_user,1,0,0,0
access_hr_employee_benefit_manager,access_hr_employee_benefit,model_hr_employee_benefit,hr.group_hr_manager,1,1,1,0
access_hr_employee_benefit_officer,access_hr_employee_benefit,model_hr_employee_benefit,hr.group_hr_user,1,1,1,0
access_hr_employee_benefit_employee,access_hr_employee_benefit,model_hr_employee_benefit,base.group_user,1,0,0,0
access_hr_salary_rule_manager,access_hr_salary_rule,model_hr_salary_rule,hr.group_hr_manager,1,1,1,0
access_hr_salary_rule_officer,access_hr_salary_rule,model_hr_salary_rule,hr.group_hr_user,1,1,1,0
access_hr_salary_rule_employee,access_hr_salary_rule,model_hr_salary_rule,base.group_user,1,0,0,0
access_hr_employee_benefit_category_manager,access_hr_employee_benefit_category,model_hr_employee_benefit_category,hr.group_hr_manager,1,1,1,0
access_hr_employee_benefit_category_officer,access_hr_employee_benefit_category,model_hr_employee_benefit_category,hr.group_hr_user,1,1,1,0
access_hr_employee_benefit_category_employee,access_hr_employee_benefit_category,model_hr_employee_benefit_category,base.group_user,1,0,0,0
access_hr_employee_benefit_rate_manager,access_hr_employee_benefit_rate,model_hr_employee_benefit_rate,hr.group_hr_manager,1,1,1,0
access_hr_employee_benefit_rate_officer,access_hr_employee_benefit_rate,model_hr_employee_benefit_rate,hr.group_hr_user,1,1,1,0
access_hr_employee_benefit_rate_employee,access_hr_employee_benefit_rate,model_hr_employee_benefit_rate,base.group_user,1,0,0,0
access_hr_employee_benefit_rate_line_manager,access_hr_employee_benefit_rate_line,model_hr_employee_benefit_rate_line,hr.group_hr_manager,1,1,1,0
access_hr_employee_benefit_rate_line_officer,access_hr_employee_benefit_rate_line,model_hr_employee_benefit_rate_line,hr.group_hr_user,1,1,1,0
access_hr_employee_benefit_rate_line_employee,access_hr_employee_benefit_rate_line,model_hr_employee_benefit_rate_line,base.group_user,1,0,0,0
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
